City ID,City Name,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed,Date
0,vaini,TO,90,100,-21.2,-175.2,66.2,4.7,1595197833
1,abu dhabi,AE,41,53,24.47,54.37,96.8,6.93,1595197550
2,kinablangan,PH,99,78,7.69,126.55,80.49,3.06,1595197834
3,clyde river,CA,90,75,70.47,-68.59,46.4,9.17,1595197323
4,chara,RU,100,86,56.91,118.26,55.06,0.94,1595197365
5,mataura,NZ,88,83,-46.19,168.86,39.0,3.0,1595197286
6,barrow,US,40,74,71.29,-156.79,37.4,12.75,1595197834
7,pueblo,US,1,17,38.25,-104.61,95.0,5.82,1595197834
8,albany,US,53,50,42.6,-73.97,93.0,6.04,1595197692
9,vilyuysk,RU,100,91,63.76,121.62,59.9,10.22,1595197755
10,busselton,AU,54,76,-33.65,115.33,46.99,8.34,1595197737
11,hailar,CN,0,82,49.2,119.7,54.41,9.48,1595197614
12,hauterive,FR,11,55,46.09,3.45,66.99,3.36,1595197834
13,georgetown,MY,40,100,5.41,100.34,78.8,4.7,1595197760
14,daru,PG,99,88,-9.08,143.21,76.62,16.93,1595197637
15,nishihara,JP,75,88,26.18,127.76,82.4,8.05,1595197362
16,jamestown,US,20,94,42.1,-79.24,75.99,10.29,1595197692
17,victoria,HK,100,79,22.29,114.16,84.0,9.71,1595197091
18,nuuk,GL,67,36,64.18,-51.72,60.8,4.7,1595197572
19,nikolskoye,RU,5,72,59.7,30.79,64.4,4.47,1595197835
20,san cristobal,VE,20,36,7.77,-72.22,93.2,12.75,1595197271
21,nanortalik,GL,3,76,60.14,-45.24,49.55,7.72,1595197327
22,tuktoyaktuk,CA,75,75,69.45,-133.04,46.4,5.82,1595197689
23,odesskoye,RU,27,73,54.21,72.97,68.81,4.97,1595197835
24,hilo,US,20,62,19.73,-155.09,84.2,11.41,1595197735
25,torbay,CA,20,46,47.67,-52.73,73.4,10.29,1595197245
26,evensk,RU,86,70,61.95,159.23,60.71,20.29,1595197387
27,ushuaia,AR,0,86,-54.8,-68.3,28.4,8.05,1595197294
28,necochea,AR,76,95,-38.55,-58.74,52.0,8.01,1595197835
29,sulangan,PH,91,72,11.14,123.72,83.68,5.21,1595197836
30,hobart,AU,40,75,-42.88,147.33,45.0,9.17,1595197017
31,saint-philippe,RE,20,77,-21.36,55.77,64.4,9.17,1595197259
32,rongcheng,CN,100,93,30.63,117.85,69.64,1.45,1595197836
33,khorramshahr,IR,8,15,30.44,48.17,100.4,11.41,1595197836
34,lebu,CL,1,90,-37.62,-73.65,51.49,12.59,1595197836
35,port elizabeth,ZA,0,100,-33.92,25.57,53.6,3.36,1595197250
36,pacov,CZ,32,95,49.47,15.0,57.99,1.01,1595197836
37,sitka,US,90,100,57.05,-135.33,55.4,8.05,1595197331
38,tiznit,MA,0,35,29.58,-9.5,81.66,3.51,1595197368
39,tasiilaq,GL,0,76,65.61,-37.64,50.0,9.17,1595197308
40,salas,ES,90,93,43.41,-6.26,66.2,1.12,1595197836
41,narsaq,GL,21,38,60.92,-46.05,60.8,6.93,1595197836
42,butaritari,KI,93,77,3.07,172.79,83.39,16.84,1595197238
43,geraldton,AU,0,87,-28.77,114.6,48.2,5.82,1595197402
44,partenit,UA,4,68,44.58,34.34,75.04,7.11,1595197837
45,colares,PT,13,82,38.8,-9.45,66.99,10.0,1595197838
46,port alfred,ZA,0,77,-33.59,26.89,60.37,8.3,1595197736
47,atuona,PF,19,72,-9.8,-139.03,79.7,15.46,1595197242
48,tucurui,BR,39,61,-3.77,-49.67,79.66,4.23,1595197208
49,cape town,ZA,40,93,-33.93,18.42,60.01,9.17,1595197838
50,chumikan,RU,100,96,54.72,135.31,53.69,11.27,1595197556
51,marawi,PH,88,91,8.0,124.29,73.99,4.0,1595197838
52,kruisfontein,ZA,0,44,-34.0,24.73,52.34,4.45,1595197711
53,ayan,RU,100,98,56.45,138.17,54.54,4.18,1595197838
54,abu samrah,SY,0,41,35.3,37.18,74.07,3.87,1595197743
55,tripoli,LY,1,79,32.88,13.19,74.53,5.37,1595197838
56,mantua,IT,0,65,45.17,10.78,72.0,1.99,1595197839
57,tuatapere,NZ,96,83,-46.13,167.68,39.0,3.0,1595197839
58,kaitangata,NZ,96,75,-46.28,169.85,46.99,5.99,1595197351
59,coahuayana,MX,85,58,18.73,-103.68,89.58,5.53,1595197839
60,goderich,CA,100,83,43.75,-81.72,78.01,17.85,1595197342
61,betioky,MG,0,77,-23.72,44.38,58.48,7.43,1595197839
62,neftcala,AZ,0,74,39.37,49.25,80.1,6.13,1595197839
63,egvekinot,RU,0,58,66.32,-179.17,47.57,6.4,1595197319
64,hirara,JP,40,83,24.8,125.28,84.2,6.93,1595197378
65,lichinga,MZ,1,87,-13.31,35.24,51.4,8.81,1595197602
66,comodoro rivadavia,AR,90,100,-45.87,-67.5,42.8,14.99,1595197802
67,lavrentiya,RU,59,58,65.58,-171.0,51.13,12.73,1595197399
68,ous,RU,29,81,60.91,61.52,56.98,9.31,1595197839
69,shadegan,IR,13,33,30.65,48.66,100.4,9.69,1595197839
70,new norfolk,AU,74,84,-42.78,147.06,45.0,3.0,1595197741
71,kiruna,SE,92,93,67.86,20.23,53.6,4.7,1595197840
72,mogadishu,SO,98,78,2.04,45.34,76.66,22.35,1595197818
73,salvador,SV,75,66,13.83,-88.92,89.6,6.93,1595197556
74,kapaa,US,90,74,22.08,-159.32,86.0,14.99,1595197840
75,dikson,RU,100,98,73.51,80.55,40.48,14.18,1595197735
76,bluff,NZ,89,83,-46.6,168.33,39.0,3.0,1595197795
77,touros,BR,40,88,-5.2,-35.46,77.0,4.7,1595197333
78,kulhudhuffushi,MV,100,83,6.62,73.07,80.4,25.12,1595197273
79,kucove,AL,0,76,40.8,19.92,60.82,1.68,1595197840
80,rikitea,PF,37,70,-23.12,-134.97,68.45,14.18,1595197017
81,sola,VU,90,83,-13.88,167.55,78.8,6.93,1595197840
82,waipawa,NZ,90,71,-41.41,175.52,54.0,9.17,1595197840
83,rovnoye,RU,1,76,50.78,46.05,64.6,6.4,1595197841
84,upernavik,GL,64,54,72.79,-56.15,49.46,7.4,1595197841
85,lodja,CD,91,45,-3.48,23.43,72.19,0.16,1595197735
86,esperance,AU,90,87,-33.87,121.9,46.4,5.82,1595197341
87,aracati,BR,96,75,-4.56,-37.77,79.61,11.65,1595197841
88,devils lake,US,75,60,48.11,-98.87,73.4,11.41,1595197555
89,chuy,UY,94,86,-33.7,-53.46,65.71,7.23,1595197324
90,dunedin,NZ,58,76,-45.87,170.5,46.99,8.01,1595197121
